timestamp,config_file,grid_size,wind_direction,base_penalty,distance_decay,score_mode,uniform_value,layers,optimizer,maxiter,rhobeg,shots,gamma_range,beta_range,enforce_constraints,min_turbines,max_turbines,constraint_penalty,best_bitstring,best_probability,optimal_value,total_score,wake_penalty,net_score,iterations,execution_time_s,min_cost,max_cost,final_cost,num_turbines,turbines_with_penalty,penalty_ratio
2025-08-09 18:42:55,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,101010010,0.070000,-13.056778911843884,20,6.0,14.0,50,0.87,-13.056778911843884,4.52314374994271,-13.056778911843884,4,1,0.250000
2025-08-09 18:43:19,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,001100001,0.080000,-13.41760312314862,15,0,15,50,0.90,-13.41760312314862,-0.13616592602041144,-13.41760312314862,3,0,0.000000
2025-08-09 18:49:58,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,100100001,0.050000,-13.877319391460219,15,0,15,50,0.90,-13.877319391460219,1.781227535990684,-13.877319391460219,3,0,0.000000
2025-08-09 18:52:16,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,101101101,0.060000,-11.778430238044828,30,18.0,12.0,50,0.87,-11.778430238044828,-1.2105186803481018,-11.778430238044828,6,3,0.500000
2025-08-09 19:01:33,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,001001001,0.100000,-13.416182294946964,15,0,15,50,0.86,-13.416182294946964,7.511790191690606,-13.416182294946964,3,0,0.000000
2025-08-10 11:11:17,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,010010010,0.080000,-14.34999134141167,15,0,15,50,0.85,-14.34999134141167,2.6477298721448275,-14.34999134141167,3,0,0.000000
2025-08-10 11:15:03,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,001010100,0.050000,-13.478904663393964,15,0,15,50,0.84,-13.478904663393964,5.6411854834674635,-13.475636528722656,3,0,0.000000
2025-08-10 11:15:36,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,010010010,0.060000,-13.421520428238267,15,0,15,50,0.86,-13.421520428238267,0.006519283089833461,-13.421520428238267,3,0,0.000000
2025-08-10 11:28:05,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,100001100,0.060000,-13.511268869050648,15,0,15,50,0.86,-13.511268869050648,-1.6870735672919415,-13.511268869050648,3,0,0.000000
2025-08-10 11:28:35,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,011011011,0.040000,-11.458059769473431,30,21.0,9.0,50,0.91,-11.458059769473431,-1.0302985021174018,-11.458059769473431,6,3,0.500000
2025-08-10 11:28:51,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,100101001,0.040000,-11.924908013213384,20,6.0,14.0,50,0.84,-11.924908013213384,-0.9159611455324368,-11.924908013213384,4,1,0.250000
2025-08-10 12:41:35,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,100110110,0.040000,-11.232173265758332,25,14.0,11.0,50,1.20,-11.232173265758332,6.740634796443023,-11.232173265758332,5,2,0.400000
2025-08-13 09:51:39,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,010001100,0.060000,-13.560194517500257,15,0,15,50,2.65,-13.560194517500257,4.179279002339127,-13.547073759040703,3,0,0.000000
2025-08-14 17:19:19,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,010101101,0.040000,-12.874520312050862,25,12.0,13.0,50,1.16,-12.874520312050862,0.3817382118117715,-12.874520312050862,5,2,0.400000
2025-08-14 17:35:09,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,100100001,0.090000,-13.20667762255833,15,0,15,50,0.88,-13.20667762255833,1.7868408167936143,-13.20667762255833,3,0,0.000000
2025-08-20 15:27:51,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,101110110,0.030000,-11.357454736938708,30,20.0,10.0,50,0.83,-11.357454736938708,-1.7664488098540774,-11.357454736938708,6,3,0.500000
2025-08-20 16:50:06,config_3x3.json,3x3,0-1,8.0,1.0,uniform,5,2,COBYLA,50,0.7,100,pi/2,pi/4,False,3,3,10.0,010101101,0.050000,-12.872486364023679,25,12.0,13.0,50,1.34,-12.872486364023679,3.6128060738484353,-12.872486364023679,5,2,0.400000
